1 , 10 , RMSE, SNN, known,  0.7055567 
1 , 10 , NLL, SNN, known,  -0.7560109 
1 , 10 , CRPS, SNN, known,  0.3895651 
1 , 20 , RMSE, SNN, known,  0.6676525 
1 , 20 , NLL, SNN, known,  -0.9237027 
1 , 20 , CRPS, SNN, known,  0.3567791 
1 , 30 , RMSE, SNN, known,  0.6412275 
1 , 30 , NLL, SNN, known,  -0.9184906 
1 , 30 , CRPS, SNN, known,  0.341863 
1 , 40 , RMSE, SNN, known,  0.6310845 
1 , 40 , NLL, SNN, known,  -0.9309237 
1 , 40 , CRPS, SNN, known,  0.3350679 
1 , 50 , RMSE, SNN, known,  0.6233945 
1 , 50 , NLL, SNN, known,  -0.9629606 
1 , 50 , CRPS, SNN, known,  0.3314016 
1 , 10 , RMSE, SNN, known,  0.6423484 
1 , 10 , NLL, SNN, known,  -0.9455258 
1 , 10 , CRPS, SNN, known,  0.3420834 
1 , 20 , RMSE, SNN, known,  0.605679 
1 , 20 , NLL, SNN, known,  -1.105806 
1 , 20 , CRPS, SNN, known,  0.3129236 
1 , 30 , RMSE, SNN, known,  0.5998499 
1 , 30 , NLL, SNN, known,  -1.12632 
1 , 30 , CRPS, SNN, known,  0.3073049 
1 , 40 , RMSE, SNN, known,  0.5929255 
1 , 40 , NLL, SNN, known,  -1.149505 
1 , 40 , CRPS, SNN, known,  0.304404 
1 , 50 , RMSE, SNN, known,  0.5703218 
1 , 50 , NLL, SNN, known,  -1.209087 
1 , 50 , CRPS, SNN, known,  0.2910514 
1 , 10 , RMSE, SNN, known,  0.6606698 
1 , 10 , NLL, SNN, known,  -0.7960899 
1 , 10 , CRPS, SNN, known,  0.3625234 
1 , 20 , RMSE, SNN, known,  0.6101211 
1 , 20 , NLL, SNN, known,  -0.943634 
1 , 20 , CRPS, SNN, known,  0.3247391 
1 , 30 , RMSE, SNN, known,  0.5818915 
1 , 30 , NLL, SNN, known,  -0.9625258 
1 , 30 , CRPS, SNN, known,  0.3097691 
1 , 40 , RMSE, SNN, known,  0.5839329 
1 , 40 , NLL, SNN, known,  -0.9725766 
1 , 40 , CRPS, SNN, known,  0.3096828 
1 , 50 , RMSE, SNN, known,  0.5703788 
1 , 50 , NLL, SNN, known,  -1.040987 
1 , 50 , CRPS, SNN, known,  0.3009229 
1 , 10 , RMSE, SNN, known,  0.7233363 
1 , 10 , NLL, SNN, known,  -0.8456702 
1 , 10 , CRPS, SNN, known,  0.3913676 
1 , 20 , RMSE, SNN, known,  0.6577589 
1 , 20 , NLL, SNN, known,  -0.9164062 
1 , 20 , CRPS, SNN, known,  0.3439199 
1 , 30 , RMSE, SNN, known,  0.6380595 
1 , 30 , NLL, SNN, known,  -0.9427583 
1 , 30 , CRPS, SNN, known,  0.3317072 
1 , 40 , RMSE, SNN, known,  0.6199587 
1 , 40 , NLL, SNN, known,  -0.9635809 
1 , 40 , CRPS, SNN, known,  0.3239345 
1 , 50 , RMSE, SNN, known,  0.6139215 
1 , 50 , NLL, SNN, known,  -0.9940803 
1 , 50 , CRPS, SNN, known,  0.3196002 
1 , 10 , RMSE, SNN, known,  0.6441332 
1 , 10 , NLL, SNN, known,  -0.8607159 
1 , 10 , CRPS, SNN, known,  0.3492956 
1 , 20 , RMSE, SNN, known,  0.6226119 
1 , 20 , NLL, SNN, known,  -0.9386691 
1 , 20 , CRPS, SNN, known,  0.33176 
1 , 30 , RMSE, SNN, known,  0.5896344 
